ID,Category,Question,Answer
14,HSA,Em đăng nhập tài khoản bị thất bại mặc dù em đã nhập đúng mật khẩu?,"Hệ thống đăng ký thi HSA được kiểm soát an ninh rất chặt chẽ. Đa phần thí sinh sẽ để trạng thái lưu mật khẩu tự động đăng nhập trên máy tính (hoặc điện thoại). Nếu bạn thay đổi mật khẩu máy tính (hoặc điện thoại) có thể ảnh hưởng đến mật khẩu đăng nhập tài khoản HSA của bạn. Bạn hãy ghi lại tài khoản và gõ mật khẩu từ bàn phím, bảo quản cẩn thận. Trường hợp bạn quên mật khẩu, hãy sử dụng chức năng ""Quên mật khẩu"" để làm lại password mới. Hãy dành 3 phút để đọc/xem và làm theo hướng dẫn lấy lại mật khẩu tại https://hsa.edu.vn/huong-dan/dang-ky-thi."
15,HSA,Em có thể đăng nhập tài khoản bằng nhiều thiết bị (máy tính và điện thoại) được không?,"Tại cùng 1 thời điểm, thí sinh chỉ có thể đăng nhập 1 thiết bị duy nhất (máy tính hoặc điện thoại). Nếu thí sinh đăng nhập bằng nhiều thiết bị CÙNG 1 THỜI ĐIỂM thì chỉ có 1 thiết bị đăng nhập sau cùng truy cập được; các thiết bị còn lại sẽ tự động bị ngắt kết nối không thể đăng nhập. Thí sinh có thể đăng nhập trên các thiết bị khác nhau tại các thời điểm khác nhau. Ví dụ buổi sáng đăng nhập trên máy tính, buổi chiều đăng nhập trên điện thoại... Viện Đào tạo số và Khảo thí khuyến cáo các thí sinh dùng máy tính để đăng ký tài khoản, chọn ca thi, nộp lệ phí... nhằm hạn chế tối đa sai sót. Bất kỳ sai sót nào đều có thể ảnh hướng đến tiến trình dự thi, công nhận kết quả thi. Thông tin khai báo sai có thể bị dừng thi hoặc làm chậm thời gian cấp Giấy chứng nhận kết quả từ 4-6 tuần (thí sinh có thể không kịp xét tuyển đại học nếu nhận Giấy chứng nhận kết quả muộn do thông tin sai)."
16,HSA,Em đã đăng ký tài khoản đúng quy định nhưng bị mất CCCD và đang làm lại CCCD mới. Vậy ngày đi thi em có thể mang CCCD mới đi thi hay không?,"Nếu em bị mất CCCD và làm lại thì các thông tin cá nhân trên CCCD mới (họ tên, ngày sinh, giới tính, quê quán và 12 số CCCD) không thay đổi so với CCCD cũ thì có thể mang CCCD mới đi thi. Bộ phận tổ chức thi có thể quét đọc thông tin để kiểm tra lại. Trường hợp bị mất CCCD trước ngày thi mà không kịp làm mới CCCD phải có Giấy xác nhận của công an địa phương (xã/phường). Giấy xác nhận của công an có dán ảnh và đóng dấu giáp lai vào ảnh thí sinh dự thi. Bất kỳ gian lận hoặc không trung thực về thông tin dự thi sẽ bị cấm thi và dừng phục vụ thi HSA. Mẫu giấy xác nhận tải tại đây: https://hsa.edu.vn/lich-thi/thu-tuc-du-thi"
17,HSA,"Em đăng ký thi HSA nhưng nhận được cảnh báo ""Số CCCD không trùng khớp với dữ liệu trên Thẻ căn cước. ","Hãy kiểm tra và cập nhật lại SỐ CĂN CƯỚC... Thí sinh sẽ không được dự thi nếu ĐĂNG KÝ SAI số căn cước"" hoặc ""Hình ảnh chứng minh nhân dân cần phải nằm đầy đủ trong khung hình và 4 cạnh của nó cần được căn chỉnh sao cho song song với khung ảnh. Đảm bảo rằng hình ảnh rõ nét và không bị lóa do ánh sáng"". Vậy em phải làm gì với cảnh báo trên?

Khi đăng ký tài khoản, hệ thống sẽ quét đối chiếu chính xác số CCCD của bạn trên thẻ căn cước, quét chất lượng ảnh thẻ căn cước. Trường hợp nhập sai số thẻ CCCD hoặc chất lượng ảnh thẻ không đáp ứng, hệ thống sẽ đưa ra cảnh báo để thí sinh rà soát lại. Khi nhận được cảnh báo như trên có thể bạn đã nhập sai số CCCD hoặc chất lượng ảnh CCCD quá thấp không thể quét dữ liệu. Hãy kiểm tra lại số CCCD, họ tên, ngày sinh, giới tính đã nhập chính xác hay chưa? Nếu các thông tin nhập đã đúng thì có thể bỏ qua cảnh báo và thực hiện các bước tiếp theo (đăng ký ca thi, nộp lệ phí...). Bạn yên tâm dự thi với các thông tin nhập đúng. Trường hợp thông tin sai, bạn sẽ không thể tra cứu kết quả thi trên cổng tuyển sinh của Bộ Giáo dục & Đào tạo."
18,HSA,"Em đăng ký thi HSA nhưng nhận được cảnh báo ""Ảnh chân dung không chấp nhận do chất lượng thấp”?","KHÔNG dùng ảnh đã photoshop/chỉnh sửa nhiều; đã chụp quá 6 tháng. Ảnh chân dung chụp lại ảnh thẻ hoặc ảnh chân dung chụp/crop từ CCCD đều KHÔNG đúng. Hãy cập xem lại yêu cầu về ảnh trong Hướng dẫn đăng ký và cập nhật lại""."" Vậy em phải làm gì với cảnh báo trên?

Khi lập khoản thi tải bản điện tử ảnh chân dung 4x6 cm lên hồ sơ cá nhân, hệ thống sẽ ghi nhận ảnh chân dung để thực hiện quá trình nhận diện đúng thí sinh khi thí sinh dự thi. Hệ thống sẽ KHÔNG chấp nhận ảnh chất lượng thấp, ảnh photoshop sửa nhiều; ảnh chụp quá 6 tháng; ảnh được chụp lại từ 1 tấm ảnh thẻ hoặc chụp lại ảnh/crop từ CCCD. Hãy xem lại yêu cầu về ảnh trong Hướng dẫn đăng ký và cập nhật lại. Viện Đào tạo số và Khảo thí yêu cầu thí sinh sử dụng ảnh chân dung chân thực (không dùng photoshop chỉnh sửa nhan sắc) trong hồ sơ đăng ký. Các trường hợp không có ảnh hoặc ảnh sai có thể không được dự thi."
19,HSA,Em có thể chụp ảnh chân dung từ ảnh CCCD của em để tải lên mục ảnh chân dung 4x6 cm được không?,"KHÔNG! Ảnh chân dung 4x6 cm dùng để nhận diện thí sinh đến dự thi và in trên Giấy chứng nhận kết quả (dùng để xét tuyển đại học). Thí sinh phải tải ảnh chân dung 4x6 cm bản điện tử (định dạng JPEG, < 5MB) chụp từ 6 tháng trở lại đây (tuyệt đối không chụp lại ảnh mình từ ảnh trong căn cước công dân hoặc ảnh chụp lại từ 1 tấm ảnh thẻ cũ, không dùng photoshop hay phần mềm chỉnh sửa nhan sắc). Mọi trường hợp gian lận ảnh sẽ bị cấm thi và chuyển cho cơ quan chức năng xem xét."
20,HSA,Em có thể dùng hộ chiếu để đăng ký thi HSA được không?,"KHÔNG! Từ năm 2022 Bộ Công An đã thống nhất dữ liệu quốc gia và cấp Căn cước công dân (CCCD) cho công dân. Để chuẩn hóa dữ liệu thi và liên thông với hệ thống các phần mềm xét tuyển đại học, lọc ảo của Bộ Giáo dục & Đào tạo, hệ thống thi HSA chỉ chấp nhận thí sinh sử dụng CCCD 12 số để đăng ký thi. Kỳ thi HSA tổ chức nhiều đợt trong thời gian dài, thí sinh hãy dành thời gian làm CCCD để thi HSA và kỳ thi tốt nghiệp trung học phổ thông tới đây. Mỗi thí sinh chỉ sử dụng một CCCD duy nhất để đăng ký 1 tài khoản thi. Hệ thống thi sẽ nhận diện ảnh và kiểm tra trùng lặp CCCD. Các tài khoản cố tình sử dụng CCCD trùng lặp hoặc CCCD của người khác để đăng ký thi sẽ bị khóa và cấm thi. Trường hợp thí sinh có quốc tịch nước ngoài liên hệ Hội đồng thi để hướng dẫn riêng."
21,HSA,Em không tìm thấy tên trường trung học phổ thông (hoặc tương đương) trong danh sách các trường cấp 3?,"Nếu bạn không tìm thấy danh sách trường THPT hay trường học của bạn trong danh sách, hãy email về địa chỉ khaothi@vnu.edu.vn tên trường, địa chỉ trường, website của trường. Viện sẽ cập nhật vào danh sách các trường học. Trường hợp bạn CHỈNH SỬA thông tin trường THPT nhưng thấy xuất hiện ""No data"", hãy chọn Tỉnh/TP khác rồi sau đó mới chọn lại Tỉnh/TP nơi bạn học tập, dữ liệu sẽ cập nhật lại và hiển thị danh mục các trường THPT."
22,HSA,Em nhập điểm học kỳ hệ thống tự ghi thành 10.00 thì sửa như thế nào?,"Bạn hãy vào mục CHỈNH SỬA ở bước 1 và dùng dấu CHẤM (.) thay cho dấu PHẨY (,) khi nhập điểm học kỳ. Ví dụ: điểm học kỳ 1 lớp 10 là: 8,75. Trường hợp bạn vào CHỈNH SỬA nhưng ô trường THPT hiển thị ""No data"" thì bạn hãy chọn Tỉnh/TP khác, sau đó quay lại chọn Tỉnh/TP mình đang học để hệ thống cập nhật lại danh mục các trường THPT. Lưu ý là thông tin học bạ sẽ không thể chỉnh sửa sau khi đã chọn ca thi. Bạn phải đảm bảo đã kiểm tra đúng các thông tin trước khi chọn ca thi.

"
23,HSA,Em đang sinh sống tại thôn/xã/huyện/tỉnh đang triển khai sáp nhập hành chính thì kê khai hồi sơ như thế nào?,"Trong hồ sơ khai báo có 2 phần thông tin, phần II - Căn cước công dân em kê khai theo đúng thông tin trên CCCD mới cấp gần nhất (xã/huyện/tỉnh) và không ảnh hưởng gì đến việc chứng nhận kết quả thi. Ở phần III: Địa chỉ nhận phiếu báo điểm em điền thông tin thôn/xã/huyện/tỉnh... cập nhật mới nhất hiện tại (nếu đã sáp nhập hoặc chuẩn bị sáp nhập). Thông tin ở Phần III cung cấp để đơn vị tổ chức thi gửi Phiếu báo điểm qua bưu điện đến đúng địa chỉ nhà/nơi ở của em. Em cũng có thể sửa thông tin ở Phần III (địa chỉ nhận thư báo điểm) trước khi hệ thống đóng đợt thi để cấp số báo danh và phòng thi của thí sinh."
24,HSA,Em không biết em thuộc khu vực mấy trong mục đối tượng ưu tiên?,"Nếu em không biết mình thuộc khu vực mấy, hãy hỏi thầy/cô giáo chủ nhiệm lớp em hoặc các giáo viên của Trường THPT nơi em đang học. Tuy nhiên, bài thi đánh giá năng lực không cộng điểm ưu tiên."
25,HSA,Em có thể không điền nguyện vọng xét tuyển đại học được không vì em muốn điền sau khi có kết quả thi tốt nghiệp?,"Bạn cần đọc kỹ dòng đầu tiên trước khi điền thông tin về nguyện vọng xét tuyển: ""Thông tin kê khai nguyện vọng xét tuyển chỉ để tham khảo phục vụ xác minh kết quả thi của thí sinh (có thể bỏ qua). Thí sinh phải gửi Hồ sơ đăng ký xét tuyển đến trường đại học sau khi nhận được Giấy chứng nhận kết quả thi ĐGNL. Viện Đào tạo số và Khảo thí không tổ chức xét tuyển đại học và không chịu trách nhiệm về kết quả xét tuyển. Hãy tìm hiểu thông tin xét tuyển tại đề án tuyển sinh của các trường đại học."
26,HSA,Em kê khai thông tin cá nhân và đã đăng ký ca thi (hoặc đã nộp lệ phí ca thi) mà muốn sửa thông tin như thế nào?,"Hệ thống đăng ký thi HSA kiểm soát rất chặt chẽ thông tin cá nhân thí sinh để phòng chống gian lận. Ngay khi thí sinh hoàn thành khai báo hồ sơ, hệ thống đã cảnh báo trước khi lựa chọn ca thi:

 Sau khi đăng ký ca thi thành công (hoặc đã nộp lệ phí thành công) thí sinh phát hiện thông tin cá nhân sai sót có thể tiến hành theo 1 trong 2 cách sau: (i) Hủy ca thi đã đăng ký để cập nhật lại thông tin (Lưu ý lệ phí nếu đã nộp sẽ không hoàn lại và có thể đợt thi không còn chỗ trống để đăng ký ca thi mới) HOẶC (ii) Gửi 01 email duy nhất (KHÔNG gửi nhiều lần) đề nghị sửa chữa thông tin cá nhân kèm theo số CCCD về địa chỉ khaothi@vnu.edu.vn. Tuy nhiên, Viện Đào tạo số và Khảo thí không sửa/thay ảnh chân dung 4x6 cm, không sửa/thay ảnh CCCD, không sửa số CCCD có sai từ 2 ký tự số trở lên và không đảm bảo sẽ sửa đầy đủ thông tin của thí sinh trước ngày thi. Thứ tự các thông tin ưu tiên sửa: ngày sinh > giới tính > nơi sinh. Các thông tin về số điện thoại, địa chỉ nhận thư, khu vực, điểm lớp 10, 11, 12.. thí sinh có thể tựa sửa bằng cách đăng nhập tài khoản, vào Bước 1 - chọn CHỈNH SỬA trước khi đóng ca thi/đợt thi. Bất kỳ sai sót về thông tin cá nhân có thể làm chậm tiến trình thi và công nhận kết quả thi do thí sinh đã không thực hiện đúng Hướng dẫn đăng ký ca thi. Thông tin về ngày cấp CCCD, hộ khẩu thường trú sẽ sửa sau ngày 15 tháng 6 hằng năm mà không ảnh hưởng đến kết quả thi, Phiếu báo điểm, kết quả xét tuyển đại học. Thí sinh sử dụng ảnh chân dung hoặc số CCCD của người khác (kể cả người thân) để đăng ký dự thi là KHÔNG được chấp nhận và KHÔNG THỂ sửa chữa."
27,HSA,"Phần địa chỉ của em bị lặp lại 2 lần có phải sửa không?

",Thí sinh phải sửa tất cả các thông tin trước khi đăng ký ca thi. Sau khi đã chọn ca thi sẽ KHÔNG thể sửa thông tin. Trường hợp địa chỉ bị lặp lại hai lần không cần phải sửa hồ sơ (sau khi đã chọn ca thi) nhưng có thể làm cho nhân viên bưu điện bối rối đôi chút khi phát hành Giấy chứng nhận kết quả thi (có thể làm chậm thời gian nhận thư nhưng không ảnh hưởng đến hồ sơ/kết quả thi). Bạn nên để ý điện thoại khi bưu tá gọi cho bạn sau ngày thi.
28,HSA,Tại sao em không thể sửa thông tin cá nhân sau khi đăng ký ca thi?,"Thông tin thí sinh phải đảm bảo nhất quán từ khi đăng ký thi, dự thi và công nhận kết quả. Hệ thống không cho phép thí sinh chỉnh sửa thông tin cá nhân gồm: Họ tên, số CCCD, ảnh chân dung 4x6 cm, ảnh CCCD, ngày sinh, giới tính, số điện thoại sau khi hoàn thành việc lựa chọn ca thi để phòng chống gian lận, sai lệch thông tin dự thi. Thí sinh hãy bình tĩnh hoàn thành khai báo hồ sơ và kiểm tra kỹ trước khi chọn ca thi. Các thông tin khác như: địa chỉ nhận thư, kết quả học tập bậc THPT, khu vực ưu tiên có thể CHỈNH SỬA (ở mục Hồ sơ) đến trước khi ĐÓNG CA THI. Sau khi đóng đăng ký đợt thi, thí sinh nhập sai địa chỉ nhận thư sẽ không thể nhận được phiếu báo điểm qua đường bưu điện. Thông tin về địa chỉ (hộ khẩu) thường trú, ngày cấp CCCD, nơi cấp CCCD có thể sửa sau khi kỳ thi kết thúc mà không ảnh hưởng đến kết quả thi và xét tuyển đại học của thí sinh."
29,HSA,Mã ca thi là gì?,"Theo hướng dẫn đăng ký ca thi, thí sinh chọn lần lượt: Kỳ thi - Đợt thi -- Địa điểm thi - Ca thi. Do đó ca thi sẽ là thao tác cuối cùng được máy tính ghi nhận. Nếu có thông tin sai lệch với ca thi, hệ thống đăng ký sẽ hiệu chỉnh lại đúng với đúng ca thi sau khi rà soát tự động. Thông tin CA THI gồm 02 mã của ĐỢT THI. ĐỊA ĐIỂM THI. NGÀY THI. BUỔI THI. Mã ca thi không thay đổi dù cho lựa chọn không đúng đợt thi hay địa điểm thi. Ví dụ, mã ca thi 401TKT23S1 là đợt thi 401, địa điểm thi TKT (Viện Đào tạo số và Khảo thí), ngày thi 23, ca thi buổi sáng. Mã địa điểm thi là mã tuyển sinh của các trường đại học gồm 3 ký tự chữ được tuyên bố trong đề án tuyển sinh (xem thêm tại đề án tuyển sinh của các cơ sở giáo dục đào tạo đại học hoặc mục Địa điểm thi)."
30,HSA,Hai ca thi liên tiếp liền kề cách nhau 28 ngày là như thế nào? Em tính toán ra sao để đăng ký 2 ca thi liền kề?,"Khi em lựa chọn ca thi, máy tính sẽ cho biết ca thi nào vi phạm quy định về thời gian 28 ngày, ca thi nào sẽ được phép đăng ký. Máy tính sẽ tính chính xác đến từng giây thời gian liền kề giữa 2 ca thi. Ví dụ: Ca thi thứ nhất lúc 7h00 ngày 01 tháng Ba thì ca thi thứ hai bạn có thể chọn là các ca thi bắt đầu từ 7h00 ngày 28 tháng Ba. Tuy nhiên, Viện Đào tạo số và Khảo thí khuyến nghị thí sinh không nên đăng ký thi HSA nhiều lần trong thời gian ngắn."
31,HSA,Thí sinh được dự thi HSA bao nhiêu lần?,"Thí sinh được phép dự thi 2 lượt/năm. Thời gian giữa hai lượt thi liên tiếp cách nhau tối thiểu 28 ngày. Các bạn học sinh lớp 12 lưu ý trùng lịch thi học kỳ, lịch kiểm tra chất lượng cuối kỳ của các trường THPT và Sở Giáo dục & Đào tạo. Thí sinh đăng ký thi nhưng không đến dự thi được xem như đã bỏ 1 lượt thi trong năm. Viện Đào tạo số và Khảo thí không phục vụ thi đối với các đối tượng là cán bộ, giảng viên, giáo viên, người đi thi,... dự thi HSA với mục đích tổ chức dịch vụ luyện thi."
32,HSA,Em có thể nên nhờ người khác đăng ký ca thi giúp được không?,"TUYỆT ĐỐI KHÔNG. Đến thời điểm đăng ký ca thi, trên mạng xã hội thường xuất hiện mời chào đăng ký giúp thí sinh ca thi. Thí sinh tuyệt đối không nên nhờ đồi tượng khác đăng ký ca thi. Việc người lạ (hay cả người quen) đăng ký ca thi cũng thao tác giống như chính bạn thực hiện. Nguy hiểm hơn, các thông tin cá nhân của bạn (họ tên, ngày sinh, số CCCD, điện thoại, địa chỉ) sẽ bị đối tượng lạ lấy cắp phục vụ các mục đích xấu mà bạn sẽ phải chịu trách nhiệm. Ngoài ra, đối tượng đăng ký cũng có thể hủy ca thi của bạn (sau khi đã nộp lệ phí) mà bạn không biết. "
33,HSA,Em đã tốt nghiệp THPT và có thể dự thi HSA được không?,"Theo Quy chế thi, bạn được đăng ký thi HSA nếu không vi phạm pháp luật. Tuy nhiên, bạn cũng cần lưu ý kết quả bài thi HSA có thể sử dụng trong 02 năm kể từ ngày dự thi. Hãy liên lạc với trường đại học dự kiến xét tuyển xem họ có dùng kết quả HSA các năm trước đó để tuyển sinh hay không? Học sinh tốt nghiệp THPT trong 03 năm tính đến thời điểm hiện tại (ví dụ năm 2025 sẽ cho phép thí sinh tốt nghiệp từ năm 2023 (sinh năm 2004) trở lại) được phép đăng ký thi HSA. Các trường hợp khác phải liên hệ trực tiếp với Hội đồng thi HSA để nhận được hỗ trợ, hướng dẫn. Mẫu đơn đăng ký dự thi và thủ tục đăng ký cho các thí sinh tốt nghiệp THPT quá 3 năm đến năm thi có tại đây. Viện Đào tạo số và Khảo thí sẽ cấp mã số và hướng dẫn thí sinh đăng ký qua email. Thí sinh dự thi tuân thủ nghiêm túc các điều khoản của Quy chế thi, Thỏa thuận đăng ký và Đơn đăng ký."
